timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1791128,-0.58378905,1.8757813,-2.4643555,-51.3916,81.848145,34.362793,-176.79199,-18.781128,26.367188
1791145,-0.6029297,1.6508789,-2.45,-53.03955,70.55664,38.81836,-177.45117,-20.159912,26.351093
1791162,0.41630858,2.2825196,-2.45,-66.589355,83.984375,42.053223,-178.34106,-21.31897,26.340364
1791179,0.153125,1.7848632,-2.7466798,-78.67432,96.80176,45.959473,-179.21997,-22.697754,26.329636
1791196,-1.4116211,1.5456054,-3.0242188,-81.17676,84.53369,46.75293,179.5935,-24.526978,26.306032
1791213,-1.4546875,1.6173828,-3.0433593,-88.012695,66.833496,45.776367,178.61023,-25.614624,26.295303
1791230,-0.6555664,1.6413085,-2.9476562,-97.351074,70.617676,41.381836,177.53357,-26.982422,26.279211
1791247,0.124414064,1.3829101,-2.8902345,-101.68457,93.566895,38.391113,175.85815,-28.256836,26.268482
1791264,-0.9857422,1.2010742,-3.4692383,-107.97119,104.61426,40.161133,174.50134,-29.833374,26.268482
1791281,-1.7513672,1.0048828,-4.0913086,-112.12158,98.93799,38.69629,172.62268,-31.931763,26.268482
1791298,-1.9188477,1.0000976,-4.048242,-111.99951,94.72656,38.269043,171.17249,-33.447876,26.268482
1791315,-1.7944336,0.9091797,-3.9286132,-116.94336,96.67969,39.978027,169.66187,-34.93103,26.268482
1791332,-2.416504,0.35888672,-4.3114257,-112.42676,95.703125,45.043945,167.69531,-37.018433,26.273846
1791349,-3.3878906,0.36367187,-4.6750975,-115.600586,77.941895,49.865723,166.30005,-38.430176,26.277065
1791366,-3.000293,-0.047851562,-4.928711,-111.93848,53.771973,57.800293,164.63013,-39.88037,26.279211
1791383,-2.14375,-0.05263672,-4.9526367,-110.71777,60.791016,64.453125,163.5315,-40.962524,26.284575
1791400,-2.1293945,-0.46416014,-4.8808594,-103.45459,76.72119,74.70703,162.53174,-42.269897,26.284575
1791417,-3.0864258,-0.3158203,-4.995703,-102.11182,80.444336,84.350586,161.44958,-44.274902,26.287794
1791434,-3.8089843,-0.7560547,-4.9813476,-96.80176,74.645996,94.42139,160.89478,-45.81299,26.28994
1791451,-4.3209963,-0.94746095,-4.569824,-83.12988,57.128906,106.20117,160.76843,-47.686157,26.300669
1791468,-4.2109375,-1.1436523,-4.0865235,-76.35498,44.25049,117.126465,161.12,-48.92212,26.300669
1791485,-4.048242,-1.258496,-3.6654296,-64.331055,38.45215,129.94385,161.91101,-50.097656,26.300669
1791502,-3.8185546,-1.622168,-3.459668,-51.3916,34.301758,138.97705,163.74023,-51.470947,26.300669
1791519,-3.1582031,-1.1627929,-3.459668,-39.978027,21.911621,143.0664,165.59692,-52.41028,26.300669
1791536,-0.12919922,-0.6890625,-3.5840821,-20.629883,26.245117,144.77539,168.59619,-53.481445,26.300669
1791553,1.6508789,0.44023436,-3.2251954,-14.465332,47.973633,143.00537,171.16699,-54.40979,26.308178
1791570,2.636621,0.96181643,-2.5217774,-12.878418,107.421875,144.53125,173.79822,-55.755615,26.322126
1791587,0.21533203,1.1101563,-2.115039,-20.935059,161.19385,153.25928,177.6709,-58.639526,26.329636
1791604,-3.646289,0.6268555,-2.8854492,-26.184082,191.95557,167.11426,-178.53333,-61.36963,26.332855
1791621,-10.029688,-0.17705078,-4.722949,-41.748047,173.21777,199.89014,-171.26038,-64.77539,26.340364
1791638,-14.422461,-0.68427736,-5.330664,-48.40088,106.32324,224.36523,-164.12476,-65.86853,26.34573
1791655,-16.384375,-1.7944336,-5.335449,-55.480957,-2.6245117,265.74707,-156.7749,-64.79187,26.347876
1791672,-16.84375,-3.3735352,-5.4120116,-54.870605,-64.51416,301.69678,-148.29346,-62.105713,26.356459
1791689,-16.867676,-4.230078,-5.488574,-50.65918,-102.11182,342.46826,-143.28918,-58.183594,26.356459
1791706,-17.173925,-4.469336,-5.4359374,-52.490234,-103.393555,406.98242,-137.80151,-51.68518,26.356459
1791723,-19.059277,-3.9238281,-6.091504,-51.635742,-100.09766,458.12988,-134.31885,-45.994263,26.356459
1791740,-20.758007,-2.4882812,-7.005469,-51.26953,-93.933105,521.60645,-131.50635,-39.60022,26.371479
1791757,-22.695995,1.9523437,-9.005664,-50.598145,-89.2334,571.228,-128.56201,-30.036621,26.387571
1791774,-24.844532,6.3881836,-10.972363,-69.885254,-112.42676,627.31934,-127.34253,-21.890259,26.406883
1791791,-24.289454,11.876758,-15.532618,-63.720703,-177.97852,687.3779,-127.15576,-9.387817,26.421904
1791808,-19.997168,18.456348,-18.159668,-99.79248,-186.82861,692.1997,-128.02917,0.5932617,26.435852
1791825,-14.341113,22.279688,-21.73418,-139.95361,-48.64502,684.2041,-130.61646,10.003052,26.470184
1791842,-23.973633,37.21416,-34.089455,-318.60352,5.9814453,538.7573,-136.95557,18.989868,26.493788
1791859,-31.945704,36.989258,-40.71211,-546.5088,-446.83838,286.01074,-144.93713,26.054077,26.512026
1791876,20.423046,33.926758,-42.803223,-605.5908,-273.19336,-79.956055,-154.64905,33.442383,26.512026
1791893,29.452637,44.056934,-34.591896,-807.0679,-138.67188,-535.2173,-161.48804,33.673096,26.512026
1791910,53.866505,35.577637,-42.96592,-988.1592,-56.152344,-1132.3853,-166.72852,31.651611,26.512026
1791927,92.75547,-2.5217774,-76.29932,-1074.3408,-45.654297,-1503.1128,-172.51831,27.767944,26.512026
1791944,110.7333,-56.00547,-79.73027,-661.56006,301.3916,-1492.3096,-174.15527,23.66455,26.512026
1791961,38.19033,17.384472,-13.16875,-266.60156,425.10986,-1557.6172,-171.09558,11.085205,26.631117
1791978,38.099415,1.6269531,-2.239453,114.44092,451.11084,-1258.4839,-170.01892,1.038208,26.689053
1791995,30.02207,-1.0670898,-5.780469,375.73242,446.83838,-653.0762,-166.36597,-12.584839,26.750206
1792012,0.59335935,6.3833985,-3.2969728,482.42188,180.9082,-338.68408,-159.49951,-18.52295,26.804924
1792029,-0.32060546,12.584961,-1.6939453,371.58203,-104.06494,-138.91602,-154.56116,-19.313965,26.863932
1792046,14.111425,17.834278,-1.8614258,120.54443,-195.43457,-15.808105,-150.41931,-16.765137,26.924013
1792063,22.404102,11.733203,-1.038379,22.216797,-127.92969,57.495117,-149.97986,-14.507446,26.985168
1792080,19.796192,13.379297,2.6414063,-164.48975,-2.746582,96.0083,-150.94666,-13.079224,27.043104
1792097,5.0914063,9.895703,4.9717774,-198.6084,-33.5083,78.79639,-154.41833,-12.200317,27.043104
1792114,0.6794922,7.19209,5.115332,-166.01562,-177.85645,71.65527,-157.10999,-9.9646,27.043104
1792131,12.656738,5.5316405,3.8616211,-110.29053,-170.8374,29.296875,-159.74121,-5.8392334,27.043104
1792148,16.413086,4.6511717,3.7946289,-57.006836,-1.0986328,-16.845703,-160.81787,-4.9823,27.043104
1792165,9.694727,3.555371,2.8375976,-10.131836,130.18799,-67.993164,-161.38367,-7.1795654,26.97444
1792182,0.7704102,2.3160157,0.82783204,16.967773,117.91992,-82.51953,-161.33423,-9.332886,26.90041
1792199,-0.56943357,0.91875,-1.8470703,34.66797,98.02246,-83.37402,-161.08704,-11.217041,26.831745
1792216,-0.92353517,0.44501954,-3.4261718,40.893555,56.57959,-72.75391,-160.5487,-13.024292,26.686907
1792233,0.19140625,0.5024414,-2.7371094,26.794434,43.70117,-63.354492,-160.318,-13.991089,26.615023
1792250,0.033496093,1.3302734,-1.2441406,-3.7841797,21.54541,-45.22705,-160.25208,-14.974365,26.544212
1792267,-0.2296875,0.7560547,0.48330078,-9.521484,0.30517578,-28.625488,-160.6311,-15.232544,26.461601
1792284,-0.70341796,1.4786133,0.8086914,-18.066406,-29.174805,-8.728027,-161.00464,-15.073242,26.39079
1792301,1.2776368,1.5743164,0.521582,-42.48047,-55.786133,15.197754,-161.80115,-14.018555,26.39079
1792318,2.7514648,1.1723633,0.36845702,-41.381836,-38.45215,27.832031,-162.39441,-13.309937,26.39079
1792335,2.3782227,2.0049806,0.17705078,-48.583984,-22.705078,34.606934,-162.99866,-12.826538,26.39079
1792352,1.7705078,1.6891601,0.03828125,-49.01123,-27.09961,39.0625,-163.99841,-12.260742,26.39079
1792369,1.8327148,1.5647461,0.40195313,-44.311523,-33.447266,40.771484,-164.64111,-11.722412,26.387571
1792386,1.038379,2.454785,0.72734374,-45.715332,-51.635742,42.053223,-165.3717,-10.678711,26.382208
1792403,1.6269531,1.8470703,0.6459961,-42.541504,-47.668457,40.34424,-165.98145,-9.788818,26.380062
1792420,2.4930663,1.8375,0.58857423,-38.269043,-20.568848,35.40039,-166.56372,-9.09668,26.376842
1792437,3.2251954,2.5648437,0.36367187,-44.006348,0.061035156,30.212402,-167.3053,-8.937378,26.371479
1792454,3.4979491,1.7705078,0.21533203,-47.546387,27.46582,28.015137,-167.98645,-9.107666,26.369333
1792471,1.1149414,2.172461,0.0,-49.072266,30.578613,27.832031,-168.85437,-9.678955,26.363968
