timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1810372,3.0816407,1.2824218,-1.4594727,-110.10742,144.65332,-29.418945,179.67041,-26.713257,26.255608
1810389,1.0335938,0.67470706,-2.5409179,-109.680176,160.21729,-32.470703,177.70935,-29.08081,26.255608
1810406,-1.1340821,0.13876954,-3.335254,-103.637695,144.34814,-31.188965,175.08911,-32.04712,26.255608
1810423,-1.9523437,-0.2536133,-3.5936522,-96.069336,124.51172,-23.80371,173.19946,-33.964233,26.255608
1810440,-2.6222656,0.0,-3.646289,-94.72656,97.90039,-18.432617,171.42517,-35.5188,26.255608
1810457,-1.6987305,-0.55507815,-3.488379,-97.0459,82.70264,-6.3476562,169.08508,-37.17224,26.266336
1810474,-1.1627929,-0.61728513,-3.5745118,-100.28076,83.862305,2.5024414,167.40417,-38.38623,26.266336
1810491,-1.622168,-1.2680664,-4.2157226,-104.43115,84.106445,19.958496,165.18494,-40.10559,26.266336
1810508,-2.3638673,-1.1867187,-4.4310546,-98.75488,72.75391,30.761719,163.7677,-41.33606,26.266336
1810525,-2.086328,-0.94267577,-4.4023438,-106.20117,57.434082,44.555664,162.46582,-42.39624,26.266336
1810542,-0.83261716,-1.6795899,-3.7419922,-100.5249,63.964844,58.410645,160.9497,-43.85742,26.266336
1810559,-1.1532227,-1.5456054,-3.703711,-95.64209,73.48633,73.66943,160.09277,-45.219727,26.266336
1810576,-1.5360352,-1.6269531,-3.617578,-86.18164,74.46289,91.18652,159.38965,-47.175293,26.279211
1810593,-2.0289063,-1.3541992,-3.488379,-80.3833,69.58008,103.881836,159.30725,-48.702393,26.28994
1810610,-2.3734374,-1.6891601,-3.273047,-80.56641,72.87598,123.9624,159.49402,-50.31189,26.298523
1810627,-3.612793,-2.5026367,-3.3065429,-67.993164,66.833496,137.81738,160.65308,-52.426758,26.302814
1810644,-4.622461,-2.4930663,-3.2874024,-60.97412,39.79492,149.41406,162.33948,-53.706665,26.311398
1810661,-4.2396483,-3.4213867,-2.784961,-54.138184,14.587402,164.00146,165.26733,-55.01953,26.322126
1810678,-4.0003905,-3.952539,-2.4691405,-43.33496,14.404297,173.64502,168.11829,-55.805054,26.332855
1810695,-4.1152344,-3.6510742,-2.847168,-32.409668,17.39502,184.021,171.60095,-56.469727,26.340364
1810712,-4.440625,-3.0529296,-3.555371,-28.503418,21.54541,192.74902,177.15454,-56.96411,26.340364
1810729,-5.297168,-3.7467773,-3.5362306,-25.817871,16.296387,196.77734,-178.56628,-57.123413,26.340364
1810746,-5.80918,-3.675,-3.675,-8.666992,4.5166016,202.33154,-172.62817,-57.002563,26.340364
1810763,-6.1919923,-3.1582031,-3.6415038,-5.7373047,-15.319824,206.97021,-168.13477,-56.37085,26.340364
1810780,-5.675195,-2.8328125,-3.2969728,12.6953125,-48.88916,205.93262,-163.6853,-54.84375,26.34251
1810797,-4.009961,-2.2442384,-2.3925781,14.770508,-59.265137,206.604,-158.44482,-52.141113,26.34573
1810814,-3.2921875,-2.574414,-1.4738281,22.521973,-54.80957,209.7168,-154.91272,-49.921875,26.347876
1810831,-2.909375,-1.9140625,-1.0335938,36.315918,-38.45215,211.79199,-150.36987,-46.966553,26.358604
1810848,-3.1964843,-1.0240234,-1.0240234,39.978027,-24.719238,216.24756,-147.16736,-44.91211,26.363968
