timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
2125728,4.722949,-7.866797,-3.8376954,-21.911621,-23.80371,42.23633,119.07532,12.919922,57.493687
2125745,4.6128907,-7.8572264,-4.12959,-28.9917,-19.592285,43.395996,118.56995,12.365112,57.493687
2125762,4.0913086,-7.9433594,-4.746875,-35.03418,-20.812988,44.555664,117.76245,11.920166,57.493687
2125779,3.5458007,-7.97207,-5.2206054,-42.785645,-30.090332,44.86084,117.388916,11.387329,57.493687
2125796,3.4166017,-8.062988,-5.876172,-51.879883,-44.067383,47.24121,116.449585,10.843506,57.493687
2125813,3.4166017,-8.378809,-6.1967773,-56.70166,-50.04883,49.926758,115.42786,10.50293,57.493687
2125830,3.3113282,-8.445801,-6.311621,-60.60791,-54.504395,54.07715,114.35669,10.123901,57.488323
2125847,2.9333007,-8.388379,-6.4073243,-62.25586,-59.814453,56.274414,112.86255,9.569092,57.488323
2125864,2.5361328,-8.292676,-6.526953,-63.659668,-69.2749,58.71582,111.708984,9.135132,57.486176
2125881,2.5217774,-8.603711,-6.8427734,-62.561035,-76.96533,63.537598,110.15442,8.519897,57.486176
2125898,2.5265625,-8.627637,-7.0581055,-60.668945,-75.01221,66.28418,109.03381,7.976074,57.480812
2125915,2.3830078,-8.685059,-7.2638674,-58.34961,-67.81006,69.64111,107.96265,7.1136475,57.47223
2125932,1.5743164,-8.661133,-7.6706057,-56.45752,-69.0918,71.10596,106.605835,6.399536,57.466866
2125949,1.009668,-8.58457,-7.9194336,-55.358887,-74.8291,71.28906,105.62805,5.6744385,57.466866
2125966,0.71298826,-8.603711,-8.096484,-54.138184,-83.49609,74.035645,104.35364,4.685669,57.466866
2125983,0.79433596,-8.541504,-8.115625,-51.818848,-82.03125,75.31738,103.45276,3.8891602,57.466866
2126000,0.71298826,-8.397949,-8.12041,-49.37744,-74.157715,76.78223,102.60681,2.7410889,57.466866
2126017,0.10048828,-8.149121,-8.240039,-47.729492,-71.28906,76.59912,101.552124,1.8347168,57.466866
2126034,-0.6507813,-7.8524413,-8.369238,-47.11914,-78.24707,73.791504,100.81604,0.9503174,57.464718
2126051,-0.95703125,-7.9146485,-8.484082,-46.081543,-89.660645,72.81494,99.87671,-0.17028809,57.464718
2126068,-0.6220703,-7.986426,-8.55586,-45.22705,-89.47754,72.69287,99.20654,-1.0272217,57.459354
2126085,-0.59335935,-8.034277,-8.575,-41.992188,-81.66504,71.5332,98.5968,-1.9006348,57.45399
2126102,-1.3541992,-7.6131835,-8.326172,-39.611816,-75.13428,70.19043,98.26172,-3.043213,57.45399
2126119,-2.138965,-7.354785,-8.249609,-40.405273,-79.65088,67.68799,98.14087,-3.8287354,57.44648
2126136,-2.1581054,-7.4265623,-8.206543,-37.475586,-79.52881,66.467285,98.031006,-4.8339844,57.44326
2126153,-2.3399415,-7.139453,-8.062988,-35.095215,-74.34082,65.30762,98.00354,-5.5810547,57.44326
2126170,-2.7179687,-6.8332033,-7.8189454,-32.958984,-68.725586,65.979004,98.00354,-6.564331,57.44326
2126187,-3.5745118,-6.3211913,-7.5844727,-33.26416,-68.66455,66.52832,98.031006,-7.294922,57.44326
2126204,-3.919043,-6.311621,-7.450488,-31.799316,-67.19971,69.03076,98.06946,-8.025513,57.44326
2126221,-4.4166994,-6.3929687,-7.0293946,-28.808594,-57.495117,72.87598,98.047485,-9.113159,57.451843
2126238,-5.1296873,-6.436035,-6.560449,-24.108887,-49.438477,79.28467,97.822266,-10.145874,57.45399
2126255,-6.13457,-5.7708983,-6.4073243,-20.690918,-38.57422,93.688965,97.75635,-11.623535,57.459354
2126272,-8.598926,-4.904785,-7.077246,-26.000977,-40.83252,104.30908,97.60803,-13.0407715,57.464718
2126289,-10.072754,-5.029199,-7.35,-26.794434,-45.837402,121.276855,97.437744,-14.666748,57.466866
2126306,-10.637403,-3.2682617,-7.9290037,-30.944824,-30.212402,147.52197,97.19055,-17.303467,57.47223
2126323,-11.623144,-1.1819336,-10.125391,-45.166016,2.9296875,166.74805,96.72363,-19.682007,57.47545
2126340,-15.795801,1.1436523,-14.69043,-69.94629,22.216797,191.95557,95.8667,-22.406616,57.47545
2126357,-25.361328,9.4841795,-24.054981,-94.23828,-50.109863,182.67822,94.49341,-26.1969,57.47545
2126374,-34.907715,21.485352,-30.232616,-135.86426,-242.1875,136.77979,94.01001,-28.399658,57.47545
2126391,-29.117676,35.324024,-30.797266,-282.53174,-575.0122,-49.316406,94.74609,-28.03711,57.47545
2126408,2.1198242,28.505177,-29.4,-328.7964,-541.25977,-218.62793,94.141846,-24.988403,57.47545
2126425,24.308594,22.619434,-27.773046,-395.93506,-220.39795,-544.0674,91.09314,-16.495972,57.47545
2126442,40.051758,4.1152344,-28.189356,-389.34326,-60.85205,-883.3008,83.864136,-5.048218,57.493687
2126459,71.57158,-15.307714,-19.107128,-253.35693,286.19385,-1210.6934,79.486084,11.711426,57.50978
2126476,99.33984,-41.67871,-14.666504,90.88135,1168.5181,-1531.189,84.765015,42.45117,57.540894
2126493,83.256935,-58.570312,-24.997656,522.15576,1708.1909,-1321.0449,126.61743,58.101196,57.556988
2126510,23.030956,-55.493458,-51.10547,1165.4053,1425.5981,-654.96826,169.24438,36.793213,57.575226
2126527,-47.574024,-14.738281,-61.16865,981.2012,514.8926,-278.1372,-162.78992,24.543457,57.59132
2126544,-32.998436,10.120605,-34.108593,626.0376,154.78516,-253.66211,-150.54565,19.25354,57.60741
2126561,-15.389063,31.390625,6.7327147,108.03223,-89.904785,-242.1875,-143.2727,16.567383,57.623505
2126578,2.6749024,27.653418,18.303223,-177.18506,-109.802246,-203.67432,-143.54736,15.968628,57.623505
2126595,11.80498,16.111622,17.815136,-297.36328,10.986328,-157.16553,-146.73889,14.7491455,57.623505
2126612,1.5264648,6.560449,10.55127,-333.313,53.03955,-86.85303,-152.9956,12.683716,57.623505
2126629,-5.479004,3.7276368,4.9,-292.11426,-63.78174,-58.10547,-157.32971,12.453003,57.64711
2126646,1.6030273,-0.71777344,-1.038379,-215.20996,-189.63623,-1.159668,-161.94397,15.408325,57.67286
2126663,10.479492,-3.459668,-1.6795899,-134.0332,-126.15967,24.291992,-164.23462,17.671509,57.69217
2126680,13.111328,-3.8807616,-0.6699219,-49.987793,-40.283203,39.489746,-165.6134,19.138184,57.71792
2126697,12.345703,-3.550586,0.25839844,-15.197754,-19.16504,37.902832,-166.47583,19.638062,57.737232
2126714,11.436523,-4.1487303,0.38759765,16.174316,-8.850098,30.700684,-166.52527,19.907227,57.76298
2126731,9.302343,-3.98125,0.31103516,31.860352,-20.446777,21.1792,-166.09131,20.324707,57.80053
2126748,10.134961,-3.9333985,0.5024414,27.46582,-15.686035,15.930176,-165.73425,20.687256,57.820915
2126765,11.096777,-3.9668946,0.70820314,8.300781,16.113281,9.70459,-165.5365,20.665283,57.820915
2126782,9.780859,-3.8137696,1.2632812,-6.958008,19.042969,6.958008,-165.6134,20.385132,57.820915
2126799,8.670703,-3.4835937,1.8757813,-22.949219,-0.8544922,4.8217773,-165.92651,20.3302,57.820915
2126816,10.010547,-3.2586913,3.0337892,-36.376953,-1.159668,4.333496,-166.59119,20.43457,57.820915
2126833,10.642187,-3.153418,3.3878906,-40.649414,15.686035,4.1503906,-167.2174,20.308228,57.820915
2126850,10.450781,-3.057715,3.2251954,-38.146973,35.7666,2.2583008,-167.8656,19.907227,57.80804
2126867,8.479297,-2.938086,2.7179687,-33.63037,22.277832,2.8076172,-168.47534,18.967896,57.80053
2126884,8.115625,-3.1055665,2.4643555,-29.052734,4.0283203,4.272461,-168.90381,18.737183,57.791946
2126901,9.149219,-3.0433593,2.574414,-23.254395,16.601562,8.056641,-169.34875,18.347168,57.78444
2126918,8.795117,-2.9667969,2.6079102,-20.751953,27.34375,10.559082,-169.58496,17.671509,57.775856
2126935,8.512793,-2.90459,2.5839844,-17.333984,31.738281,11.352539,-169.7992,16.66626,57.768345
2126952,8.675488,-2.8041015,2.6988282,-15.74707,27.893066,11.413574,-170.0299,15.941162,57.75225
2126969,9.254492,-2.694043,2.8950195,-14.953613,31.433105,10.253906,-170.2771,15.413818,57.74474
2126986,9.307129,-2.516992,3.2921875,-15.686035,44.677734,7.2631836,-170.61768,14.545898,57.74474
2127003,9.134863,-2.416504,3.7228515,-17.944336,58.10547,5.1879883,-170.79346,13.408813,57.74474
2127020,8.0917,-2.3638673,3.7611327,-18.981934,57.739258,1.5258789,-171.06812,12.068481,57.74474
2127037,6.6130857,-2.5552735,3.3639648,-20.751953,33.691406,0.5493164,-171.49109,11.447754,57.74474
2127054,7.1633787,-2.574414,3.186914,-22.827148,22.155762,-1.0375977,-171.83167,11.074219,57.739376
2127071,7.689746,-2.6557617,3.1390624,-27.893066,16.784668,-2.746582,-172.30408,10.59082,57.734013
