timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1615419,0.071777344,-3.4740233,-2.2538085,-138.1836,-228.94287,80.68848,-179.14856,-3.5760498,26.50988
1615436,0.72734374,-3.8089843,-2.234668,-123.65723,-219.29932,68.237305,178.28613,-0.24169922,26.499151
1615453,0.94746095,-3.4500976,-1.8470703,-117.004395,-208.74023,50.354004,176.47339,2.9003906,26.490568
1615470,1.6795899,-3.282617,-1.0958008,-91.796875,-178.10059,27.22168,174.35303,6.6522217,26.47984
1615487,1.9762695,-2.880664,-0.6029297,-67.93213,-148.74268,6.591797,173.11707,9.003296,26.47984
1615504,1.593457,-1.6413085,-0.29667968,-40.405273,-118.04199,-32.77588,172.34802,10.914917,26.47984
1615521,1.3207031,-0.82304686,-0.09091797,-22.644043,-103.33252,-60.668945,171.90857,13.183594,26.47984
1615538,1.8518555,-0.5167969,0.4498047,-1.2207031,-77.941895,-92.7124,172.06787,14.606323,26.47984
1615555,2.7083983,-0.55986327,0.8996094,30.334473,-28.930664,-137.39014,173.04565,15.891724,26.47984
1615572,3.1342773,-0.7225586,1.0192382,55.908203,18.859863,-172.11914,174.4519,16.116943,26.47984
1615589,3.182129,-0.91396487,0.95224607,85.998535,84.53369,-213.98926,176.39648,15.578613,26.483059
1615606,2.2203126,-1.3015625,0.44023436,105.10254,127.80762,-233.09326,179.50012,13.584595,26.483059
1615623,0.32060546,-1.3924805,-0.44501954,118.71338,143.79883,-247.00928,-177.9071,11.387329,26.483059
1615640,-1.0910156,-1.2824218,-0.93310547,128.72314,133.11768,-257.26318,-174.4574,8.289185,26.485205
1615657,-0.8517578,-1.2776368,-0.8661133,131.34766,127.44141,-266.72363,-171.99097,5.9381104,26.485205
1615674,-1.1915039,-1.4116211,-0.70820314,138.48877,117.06543,-266.35742,-169.60144,2.647705,26.485205
1615691,-3.2299805,-0.8613281,-0.61728513,141.35742,84.53369,-262.81738,-166.65161,0.37353516,26.485205
1615708,-4.3114257,0.18183593,-0.30625,148.68164,23.742676,-262.146,-164.50378,-1.2634277,26.485205
1615725,-1.3829101,1.1388671,1.5264648,113.40332,4.760742,-267.39502,-162.12524,-2.8289795,26.485205
1615742,0.58378905,0.4498047,2.1628907,123.413086,31.433105,-255.5542,-160.52124,-4.389038,26.485205
1615759,1.5791016,0.6699219,2.6988282,116.27197,78.97949,-241.94336,-159.0326,-6.4489746,26.495934
1615776,1.1819336,0.1866211,2.3112304,119.68994,94.90967,-232.54395,-157.23633,-9.8602295,26.504517
1615793,0.7321289,0.8804687,2.1533203,140.07568,86.30371,-236.75537,-155.7367,-12.5354,26.50988
1615810,1.7370117,2.3638673,2.4930663,112.24365,77.33154,-254.02832,-154.2041,-16.051025,26.512026
1615827,1.9810547,2.0097656,2.5839844,95.15381,79.833984,-257.01904,-153.6383,-18.83606,26.519537
1615844,1.5551758,1.6030273,2.4643555,90.148926,63.293457,-255.24902,-153.33618,-21.549683,26.52812
1615861,3.1629882,1.9092773,2.8902345,77.20947,68.90869,-266.2964,-153.38562,-25.01587,26.533484
1615878,4.4454103,1.4594727,2.2681642,68.359375,104.37012,-277.83203,-153.88,-28.146973,26.540995
1615895,3.0098634,1.253711,1.622168,66.04004,127.2583,-289.97803,-154.94019,-32.83264,26.540995
1615912,1.2058594,1.7944336,1.1723633,53.16162,107.177734,-301.26953,-156.36841,-36.326294,26.540995
1615929,1.1053711,2.3208008,1.4929688,33.569336,72.93701,-323.85254,-158.703,-39.32556,26.540995
