timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1419988,0.11005859,-0.3828125,0.119628906,20.019531,-20.080566,0.36621094,176.77551,-72.89429,86.23302
1420005,0.4928711,-0.2727539,0.5120117,20.019531,-6.5307617,-4.1503906,177.0282,-72.734985,86.23517
1420022,-0.014355469,-0.459375,0.028710937,21.42334,3.2348633,-6.4086914,177.0227,-72.822876,86.23838
1420039,-0.21533203,-0.5024414,-0.095703125,21.850586,1.8310547,-4.3945312,177.16003,-72.839355,86.23838
1420056,-0.5359375,-0.23447266,-0.16269532,19.348145,-9.155273,-4.8828125,177.32483,-72.74048,86.23838
1420073,-0.3397461,-0.36367187,-0.057421874,18.981934,-16.357422,-4.3945312,177.47864,-72.509766,86.23838
1420090,-0.08613281,-0.36845702,0.119628906,20.080566,-18.737793,-3.112793,177.68188,-72.23511,86.23838
1420107,-0.095703125,-0.26796874,0.41630858,20.935059,-18.798828,-4.333496,177.9895,-71.883545,86.23838
1420124,-0.17705078,-0.39716798,0.48808593,22.094727,-18.127441,-6.958008,178.11035,-71.61987,86.23838
1420141,-0.37802735,-0.59814453,0.35888672,23.010254,-18.798828,-9.216309,178.18176,-71.257324,86.245895
1420158,-0.45458984,-0.46894532,0.34453124,22.033691,-20.507812,-9.70459,178.20923,-70.97168,86.25126
1420175,-0.45458984,-0.53115237,0.38759765,22.583008,-24.414062,-9.399414,178.25317,-70.64209,86.2534
1420192,-0.6364258,-0.55507815,0.23447266,23.31543,-31.799316,-9.94873,178.29712,-70.08179,86.2534
1420209,-0.5072266,-0.7560547,0.32539064,25.45166,-37.109375,-6.8359375,178.48938,-69.537964,86.25662
1420226,-0.11484375,-0.59335935,0.60771483,29.11377,-39.978027,-11.413574,178.69812,-68.76892,86.245895
1420243,0.24404296,-0.7464844,0.8517578,33.203125,-38.635254,-14.465332,178.797,-68.20862,86.24804
1420260,0.7895508,-0.98095703,1.1340821,42.48047,-29.052734,-17.700195,178.88489,-67.72522,86.2534
1420277,0.3732422,-0.7751953,1.1245117,46.26465,-23.864746,-19.65332,179.0332,-67.27478,86.2534
1420294,-0.10048828,-0.83740234,0.8086914,50.964355,-27.58789,-21.42334,179.13208,-66.92322,86.2534
1420311,-0.47373047,-0.56943357,0.42109376,54.504395,-43.273926,-24.658203,179.23645,-66.19812,86.2534
1420328,-0.019140625,-0.29189453,0.7799805,55.603027,-58.044434,-27.46582,179.2804,-65.41809,86.2534
1420345,1.1580079,-0.24882813,1.4786133,64.39209,-57.739258,-38.45215,179.1156,-64.57214,86.2534
1420362,2.1581054,-0.46416014,2.0671875,74.401855,-46.691895,-43.823242,178.8739,-63.511963,86.2534
1420379,2.115039,-0.2727539,1.8757813,82.88574,-36.010742,-52.368164,178.62122,-62.913208,86.2534
1420396,1.5073242,-0.11005859,1.3350586,88.134766,-33.996582,-60.48584,178.17627,-62.215576,86.2534
1420413,1.3733399,-0.28710938,1.0670898,91.674805,-38.757324,-62.74414,177.8302,-61.688232,86.2534
1420430,1.038379,-0.014355469,1.0048828,93.50586,-50.231934,-65.30762,177.50061,-61.045532,86.2534
1420447,1.8470703,0.21533203,1.6413085,96.069336,-47.302246,-65.73486,177.17651,-60.029297,86.2534
1420464,2.636621,0.35410157,1.7609375,100.58594,-31.433105,-70.67871,176.92383,-59.42505,86.2534
1420481,2.4882812,0.4928711,0.8996094,103.08838,-20.935059,-68.42041,176.72058,-58.88672,86.2534
1420498,2.2777343,0.70341796,0.39716798,103.8208,-27.09961,-65.42969,176.61621,-58.518677,86.2534
1420515,2.1533203,1.2824218,0.24404296,102.23389,-35.949707,-61.157227,176.61621,-58.024292,86.2534
1420532,2.880664,1.7035156,0.18183593,106.38428,-41.381836,-57.495117,176.81396,-57.17285,86.2534
1420549,3.952539,2.6079102,-0.35410157,111.81641,-38.57422,-58.044434,177.17651,-56.535645,86.2534
1420566,6.436035,4.799512,-2.7323241,118.16406,-42.419434,-62.5,177.78076,-55.700684,86.2534
1420583,10.235449,6.780566,-5.110547,123.168945,-60.302734,-69.58008,178.18726,-54.86023,86.2534
1420600,16.317383,9.03916,-5.8283205,127.86865,-73.18115,-107.23877,178.28064,-53.778076,86.2534
1420617,24.447363,9.532031,-3.5027344,136.65771,-45.043945,-139.77051,177.71484,-52.476196,86.2534
1420634,28.7875,10.082324,-0.6651367,151.30615,21.1792,-167.05322,176.83044,-52.29492,86.2534
1420651,31.86914,12.584961,2.3447266,157.77588,159.79004,-190.00244,174.91882,-54.162598,86.245895
1420668,35.37666,15.408203,2.387793,142.21191,277.52686,-196.96045,172.2821,-57.35962,86.245895
1420685,37.884083,22.963964,0.41630858,61.09619,467.65137,-171.32568,167.98096,-62.32544,86.245895
1420702,36.190136,35.472363,-11.513086,-41.931152,683.59375,-110.5957,152.36389,-72.317505,86.245895
1420719,22.04043,50.693947,-34.835938,-330.13916,880.4321,-180.35889,105.38086,-78.68408,86.245895
1420736,-15.427343,32.629982,-74.83506,-894.8364,657.1045,-80.93262,34.661865,-69.18091,86.245895
1420753,-42.34385,15.336426,-87.487015,-1283.4473,251.52588,140.13672,9.931641,-64.643555,86.28023
1420770,-73.82539,1.0575196,-95.023636,-1634.6436,-282.95898,491.02783,-21.51123,-64.643555,86.34889
1420787,-64.32686,-32.424217,-84.84082,-1631.1035,-407.89795,958.43506,-79.8761,-57.27722,86.383224
1420804,-31.902637,-29.998144,-69.20293,-1440.6738,-524.90234,1249.3286,-109.06128,-39.42444,86.41541
1420821,-0.56464845,-19.614355,-29.940723,-976.98975,-412.8418,1291.1987,-128.77625,-13.875732,86.45189
1420838,-8.158691,-2.3925781,-5.033984,-709.5337,-870.3613,1175.9644,-140.71838,7.0147705,86.48622
1420855,20.652735,-6.9576173,6.426465,-252.0752,-711.853,732.05566,-149.32617,31.49231,86.51841
1420872,40.72168,1.3063476,17.853418,29.35791,-100.76904,348.99902,-154.86328,38.007202,86.55274
1420889,17.097363,15.240723,12.010742,87.1582,95.581055,32.348633,-155.23132,37.798462,86.55274
1420906,7.684961,10.187597,3.7850585,114.25781,138.12256,-311.0962,-151.32568,33.947754,86.55274
1420923,6.345117,4.895215,0.7321289,172.0581,249.26758,-463.62305,-146.74988,27.976685,86.55274
1420940,-0.8804687,4.469336,-3.617578,226.5625,310.97412,-571.47217,-142.0697,16.726685,86.55274
1420957,-11.091992,4.713379,-8.436231,233.27637,216.4917,-586.3037,-136.1261,8.00354,86.583855
